,MDS_x,MDS_y,Entity,tsne_x,tsne_y,scluster6,kmeans6
13561,-2.6196910466315697,8.100921876554922,Abkhazia,-18.88941,-9.612277,0,2
0,-2.576544729454559,8.139680195567475,Afghanistan,-19.27835,-9.565024,0,2
58,2.092200616496629,7.616071599502939,Africa,-8.689004,1.6592863,0,2
13562,-2.8102069070268256,4.074547956718408,Akrotiri and Dhekelia,-6.498229,-0.4123972,0,2
116,-2.9846840871957103,1.9585019736169482,Albania,5.735429,-5.220007,0,0
174,0.28960957405542737,5.394256369543365,Algeria,-3.2293031,-10.857336,0,2
232,-2.916428346515349,5.348690584870527,American Samoa,-11.535325,-6.0417876,0,2
290,28.82508645474117,2.5960598180617738,Americas,2.5920684,13.120462,1,1
13563,13.299695379972627,4.927637602192005,Andorra,2.493371,11.167458,2,1
348,0.9152523586100826,5.319985702268481,Angola,-1.9318923,-11.133638,0,2
13564,-0.25698585808332447,6.217249726995821,Anguilla,-5.550889,-11.530997,0,2
13565,-1.4774613293199692,7.173582720812162,Antarctica,-18.468128,-4.9570494,0,2
406,-2.4262376923399547,8.222030521770876,Antigua and Barbuda,-20.075705,-8.835616,0,2
464,-0.8571619626250276,7.262670672845703,Argentina,-14.08375,-3.6040747,0,2
522,7.666254183525614,0.6232731753005533,Armenia,-0.110664204,3.8200543,0,0
13566,15.779949875446079,-5.67826882640601,Aruba,4.0557075,12.0836525,1,1
549,28.357704898980113,-13.847202775691954,Asia,4.6380534,14.091802,0,1
607,8.15292923611161,-1.0308218351589666,"Asia, Central",5.7948003,9.584075,4,0
634,-1.9513666795259756,2.980185799997456,Australia,-5.106378,-0.87758934,0,0
692,-1.2294636288044092,2.398654693500407,Australia & New Zealand,-4.8772273,-0.09717557,0,0
750,-3.1460517693960193,-5.077640758282298,Austria,9.537319,10.505638,4,3
13567,-1.9898895652215534,-1.285660394172528,Austria-Hungary,8.780963,0.72106016,0,0
808,1.240330065617509,3.210907024893147,Azerbaijan,-0.22595607,-5.1535287,0,0
13568,-2.30105367642046,2.9148666491375304,Baden,-1.6567987,-4.5664124,0,0
835,-3.8244902468951656,2.937457006258721,Bahamas,5.1139746,-6.1895566,0,2
